Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
2.5 0.00999000999000999 3.8 10 0 0 0 50 1001 10 505 20

2.8 0.024975024975024976 3.36 25 0 0 0 50 1001 10 550 20

2.272727272727273 0.02197802197802198 3.5454545454545454 22 0 0 0 50 1001 10 693 20

1.8571428571428572 0.013986013986013986 2.7857142857142856 14 0 0 0 50 1001 10 752 20

2.3333333333333335 0.008991008991008992 3.888888888888889 9 0 0 0 50 1001 10 802 20

1.75 0.003996003996003996 3.0 4 0 0 0 50 1001 10 840 20

2.3333333333333335 0.005994005994005994 3.1666666666666665 6 0 0 0 50 1001 10 859 20

2.0 0.001998001998001998 2.5 2 0 0 0 50 1001 10 881 20

3.2857142857142856 0.006993006993006993 2.4285714285714284 7 0 0 0 50 1001 10 899 20

2.25 0.003996003996003996 3.5 4 0 0 0 50 1001 10 905 20

2.0 0.00999000999000999 2.9 10 0 0 0 50 1001 10 922 20

2.5 0.003996003996003996 4.5 4 0 0 0 50 1001 10 919 20

3.0 9.99000999000999E-4 3.0 1 0 0 0 50 1001 10 926 20

2.0 0.001998001998001998 2.5 2 0 0 0 50 1001 10 929 20

2.5 0.001998001998001998 3.5 2 0 0 0 50 1001 10 936 20

1.6666666666666667 0.002997002997002997 3.6666666666666665 3 0 0 0 50 1001 10 939 20

1.75 0.003996003996003996 2.75 4 0 0 0 50 1001 10 946 20

2.6 0.004995004995004995 3.8 5 0 0 0 50 1001 10 950 20

1.0 9.99000999000999E-4 2.0 1 0 0 0 50 1001 10 949 20

NaN 0.0 NaN 0 0 0 0 50 1001 10 951 20
