Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
1.5 0.007992007992007992 2.25 8 0 0 0 50 1001 10 104 20

1.4615384615384615 0.012987012987012988 2.6153846153846154 13 0 0 0 50 1001 10 206 20

2.0 0.02097902097902098 2.7142857142857144 21 0 0 0 50 1001 10 360 20

1.9583333333333333 0.023976023976023976 2.7083333333333335 24 0 0 0 50 1001 10 626 20

4.0 0.023976023976023976 2.75 24 0 1 1 50 1001 10 1132 20

3.0 0.02097902097902098 2.9047619047619047 21 0 0 0 50 1001 10 1713 20

2.4838709677419355 0.030969030969030968 2.5161290322580645 31 0 0 0 50 1001 10 2446 20

1.9411764705882353 0.016983016983016984 2.8823529411764706 17 0 0 0 50 1001 10 3193 20

2.619047619047619 0.04195804195804196 3.4761904761904763 42 0 0 0 50 1001 10 4147 20

3.735294117647059 0.03396603396603397 2.735294117647059 34 1 2 1 50 1001 10 5127 20
