Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
1.875 0.007992007992007992 2.625 8 0 0 0 50 1001 10 104 20

1.6923076923076923 0.012987012987012988 2.923076923076923 13 0 0 0 50 1001 10 206 20

2.4285714285714284 0.02097902097902098 3.0952380952380953 21 0 0 0 50 1001 10 360 20

2.125 0.023976023976023976 2.9583333333333335 24 0 0 0 50 1001 10 626 20

4.208333333333333 0.023976023976023976 2.9583333333333335 24 0 1 1 50 1001 10 1132 20

3.0952380952380953 0.02097902097902098 3.1904761904761907 21 0 0 0 50 1001 10 1713 20

2.5161290322580645 0.030969030969030968 2.774193548387097 31 0 0 0 50 1001 10 2446 20

2.0 0.016983016983016984 3.0588235294117645 17 0 0 0 50 1001 10 3193 20

3.142857142857143 0.04195804195804196 3.9285714285714284 42 0 0 0 50 1001 10 4147 20

4.205882352941177 0.03396603396603397 3.2941176470588234 34 0 2 2 50 1001 10 5127 20
