Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
1.75 0.007992007992007992 2.625 8 0 0 0 50 1001 10 104 20

1.8461538461538463 0.012987012987012988 3.1538461538461537 13 0 0 0 50 1001 10 206 20

2.1904761904761907 0.02097902097902098 3.1904761904761907 21 0 0 0 50 1001 10 360 20

2.125 0.023976023976023976 3.0 24 0 0 0 50 1001 10 626 20

3.5416666666666665 0.023976023976023976 2.875 24 0 0 0 50 1001 10 1132 20

3.0476190476190474 0.02097902097902098 3.0476190476190474 21 0 0 0 50 1001 10 1713 20

2.5806451612903225 0.030969030969030968 2.774193548387097 31 0 0 0 50 1001 10 2446 20

1.9411764705882353 0.016983016983016984 2.8823529411764706 17 0 0 0 50 1001 10 3193 20

3.261904761904762 0.04195804195804196 4.023809523809524 42 0 0 0 50 1001 10 4147 20

4.911764705882353 0.03396603396603397 3.2058823529411766 34 0 2 2 50 1001 10 5127 20
