Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
2.2 0.004995004995004995 2.8 5 0 0 0 50 1001 10 52 20

3.0 9.99000999000999E-4 7.0 1 0 0 0 50 1001 10 100 20

2.7857142857142856 0.013986013986013986 2.857142857142857 14 0 0 0 50 1001 10 157 20

2.6666666666666665 0.017982017982017984 2.7777777777777777 18 0 0 0 50 1001 10 209 20

1.7777777777777777 0.008991008991008992 2.4444444444444446 9 0 0 0 50 1001 10 267 20

1.8666666666666667 0.014985014985014986 2.7333333333333334 15 0 0 0 50 1001 10 375 20

2.125 0.015984015984015984 2.8125 16 0 0 0 50 1001 10 470 20

2.1538461538461537 0.012987012987012988 3.3076923076923075 13 0 0 0 50 1001 10 576 20

2.5384615384615383 0.012987012987012988 3.4615384615384617 13 0 0 0 50 1001 10 670 20

1.8181818181818181 0.01098901098901099 2.727272727272727 11 0 0 0 50 1001 10 767 20

1.9 0.00999000999000999 2.4 10 0 0 0 50 1001 10 875 20

2.4375 0.015984015984015984 3.375 16 0 0 0 50 1001 10 977 20

2.6153846153846154 0.012987012987012988 3.3076923076923075 13 0 0 0 50 1001 10 1056 20

1.6 0.004995004995004995 2.0 5 0 0 0 50 1001 10 1165 20

2.090909090909091 0.01098901098901099 3.3636363636363638 11 0 0 0 50 1001 10 1264 20

1.9375 0.015984015984015984 2.8125 16 0 0 0 50 1001 10 1362 20

2.2 0.00999000999000999 3.1 10 0 0 0 50 1001 10 1461 20

1.4285714285714286 0.006993006993006993 2.2857142857142856 7 0 0 0 50 1001 10 1561 20

2.6956521739130435 0.022977022977022976 3.1739130434782608 23 0 0 0 50 1001 10 1654 20

1.4 0.00999000999000999 2.0 10 0 0 0 50 1001 10 1769 20

2.357142857142857 0.013986013986013986 3.5714285714285716 14 0 0 0 50 1001 10 1865 20

2.6153846153846154 0.012987012987012988 2.8461538461538463 13 0 0 0 50 1001 10 1952 20

2.25 0.011988011988011988 4.0 12 0 0 0 50 1001 10 2060 20

2.0 0.003996003996003996 2.75 4 0 0 0 50 1001 10 2162 20

1.8666666666666667 0.014985014985014986 2.6 15 0 0 0 50 1001 10 2270 20

2.888888888888889 0.017982017982017984 2.9444444444444446 18 0 0 0 50 1001 10 2349 20

2.625 0.015984015984015984 4.1875 16 0 0 0 50 1001 10 2470 20

1.6666666666666667 0.014985014985014986 2.533333333333333 15 0 0 0 50 1001 10 2560 20

