Average_End-To-End Throughput Average_Distance_Travelled Number_of_Delivered Number_of_Dropped_packets Number_of_Re-requested_packets Number_of_packets_Arrived_more_than_once Number_of_Nodes Measurement_Time Buffer_size Number_of_Packets_arrived_to_the_system Packet_Time_limit
2.4 0.004995004995004995 3.2 5 0 0 0 50 1001 10 52 20

3.0 9.99000999000999E-4 7.0 1 0 0 0 50 1001 10 100 20

2.7857142857142856 0.013986013986013986 3.0714285714285716 14 0 0 0 50 1001 10 157 20

2.6666666666666665 0.017982017982017984 2.9444444444444446 18 0 0 0 50 1001 10 209 20

2.0 0.008991008991008992 2.7777777777777777 9 0 0 0 50 1001 10 267 20

1.9333333333333333 0.014985014985014986 3.066666666666667 15 0 0 0 50 1001 10 375 20

2.1875 0.015984015984015984 3.0625 16 0 0 0 50 1001 10 470 20

2.1538461538461537 0.012987012987012988 3.4615384615384617 13 0 0 0 50 1001 10 576 20

2.769230769230769 0.012987012987012988 3.8461538461538463 13 0 0 0 50 1001 10 670 20

2.090909090909091 0.01098901098901099 3.090909090909091 11 0 0 0 50 1001 10 767 20

1.8 0.00999000999000999 2.5 10 0 0 0 50 1001 10 875 20

2.5625 0.015984015984015984 3.75 16 0 0 0 50 1001 10 977 20

2.769230769230769 0.012987012987012988 3.6923076923076925 13 0 0 0 50 1001 10 1056 20

1.8 0.004995004995004995 2.2 5 0 0 0 50 1001 10 1165 20

2.4545454545454546 0.01098901098901099 4.181818181818182 11 0 0 0 50 1001 10 1264 20

1.8125 0.015984015984015984 3.4375 16 0 0 0 50 1001 10 1362 20

2.4 0.00999000999000999 3.3 10 0 0 0 50 1001 10 1461 20

1.4285714285714286 0.006993006993006993 2.2857142857142856 7 0 0 0 50 1001 10 1561 20

3.0869565217391304 0.022977022977022976 3.782608695652174 23 0 0 0 50 1001 10 1654 20

1.5 0.00999000999000999 2.1 10 0 0 0 50 1001 10 1769 20

2.357142857142857 0.013986013986013986 3.7142857142857144 14 0 0 0 50 1001 10 1865 20

2.6923076923076925 0.012987012987012988 3.1538461538461537 13 0 0 0 50 1001 10 1952 20

2.4166666666666665 0.011988011988011988 4.333333333333333 12 0 0 0 50 1001 10 2060 20

2.25 0.003996003996003996 3.0 4 0 0 0 50 1001 10 2162 20

2.0 0.014985014985014986 2.8666666666666667 15 0 0 0 50 1001 10 2270 20

3.0555555555555554 0.017982017982017984 3.4444444444444446 18 0 0 0 50 1001 10 2349 20

2.9375 0.015984015984015984 4.5 16 0 0 0 50 1001 10 2470 20

1.9333333333333333 0.014985014985014986 3.2 15 0 0 0 50 1001 10 2560 20

1.5 0.005994005994005994 2.3333333333333335 6 0 0 0 50 1001 10 2666 20

3.761904761904762 0.02097902097902098 4.666666666666667 21 0 0 0 50 1001 10 2770 20

1.6 0.004995004995004995 2.6 5 0 0 0 50 1001 10 2868 20

1.9285714285714286 0.013986013986013986 2.642857142857143 14 0 0 0 50 1001 10 2947 20

2.4285714285714284 0.013986013986013986 2.7142857142857144 14 0 0 0 50 1001 10 3066 20

1.7272727272727273 0.01098901098901099 2.4545454545454546 11 0 0 0 50 1001 10 3158 20

1.9166666666666667 0.011988011988011988 2.8333333333333335 12 0 0 0 50 1001 10 3269 20

1.7857142857142858 0.013986013986013986 2.5714285714285716 14 0 0 0 50 1001 10 3356 20

1.8888888888888888 0.008991008991008992 3.2222222222222223 9 0 0 0 50 1001 10 3464 20

2.2142857142857144 0.013986013986013986 3.2857142857142856 14 0 0 0 50 1001 10 3552 20

2.6315789473684212 0.01898101898101898 2.8421052631578947 19 0 0 0 50 1001 10 3681 20

1.8888888888888888 0.008991008991008992 2.888888888888889 9 0 0 0 50 1001 10 3756 20

2.823529411764706 0.016983016983016984 4.411764705882353 17 0 0 0 50 1001 10 3867 20

3.5454545454545454 0.02197802197802198 3.8181818181818183 22 0 0 0 50 1001 10 3973 20

2.1 0.00999000999000999 2.8 10 0 0 0 50 1001 10 4067 20

2.3333333333333335 0.011988011988011988 3.25 12 0 0 0 50 1001 10 4171 20

2.1538461538461537 0.012987012987012988 3.5384615384615383 13 0 0 0 50 1001 10 4271 20

2.125 0.007992007992007992 2.875 8 0 0 0 50 1001 10 4370 20

3.388888888888889 0.017982017982017984 4.111111111111111 18 0 0 0 50 1001 10 4474 20

2.3 0.01998001998001998 3.45 20 0 0 0 50 1001 10 4562 20

2.3333333333333335 0.014985014985014986 2.7333333333333334 15 0 0 0 50 1001 10 4666 20

2.4210526315789473 0.01898101898101898 3.8421052631578947 19 0 0 0 50 1001 10 4770 20

2.230769230769231 0.012987012987012988 4.0 13 0 0 0 50 1001 10 4864 20

3.176470588235294 0.016983016983016984 4.117647058823529 17 0 0 0 50 1001 10 4968 20

2.2857142857142856 0.013986013986013986 3.4285714285714284 14 0 0 0 50 1001 10 5074 20

9.666666666666666 0.02097902097902098 2.857142857142857 21 8 8 0 50 1001 10 5176 20

1.9230769230769231 0.012987012987012988 2.6153846153846154 13 0 0 0 50 1001 10 5270 20

3.066666666666667 0.014985014985014986 2.6 15 0 0 0 50 1001 10 5382 20

2.7777777777777777 0.008991008991008992 2.7777777777777777 9 0 0 0 50 1001 10 5458 20

2.0 0.015984015984015984 3.125 16 0 0 0 50 1001 10 5568 20

2.076923076923077 0.012987012987012988 3.3076923076923075 13 0 0 0 50 1001 10 5678 20

3.125 0.007992007992007992 2.875 8 0 0 0 50 1001 10 5744 20

2.3333333333333335 0.011988011988011988 3.0833333333333335 12 0 0 0 50 1001 10 5871 20

2.076923076923077 0.012987012987012988 2.923076923076923 13 0 0 0 50 1001 10 5969 20

2.0 0.007992007992007992 3.875 8 0 0 0 50 1001 10 6050 20

2.0 0.006993006993006993 2.7142857142857144 7 0 0 0 50 1001 10 6169 20

2.888888888888889 0.017982017982017984 4.166666666666667 18 0 0 0 50 1001 10 6279 20

2.0 0.005994005994005994 2.6666666666666665 6 0 0 0 50 1001 10 6351 20

2.0 0.002997002997002997 3.3333333333333335 3 0 0 0 50 1001 10 6457 20

2.75 0.01998001998001998 3.2 20 0 0 0 50 1001 10 6572 20

2.4 0.004995004995004995 4.0 5 0 0 0 50 1001 10 6658 20

2.0 0.007992007992007992 2.625 8 0 0 0 50 1001 10 6760 20

2.0 0.011988011988011988 3.0833333333333335 12 0 0 0 50 1001 10 6862 20

2.0 0.012987012987012988 2.8461538461538463 13 0 0 0 50 1001 10 6958 20

2.5555555555555554 0.008991008991008992 3.111111111111111 9 0 0 0 50 1001 10 7062 20

3.111111111111111 0.008991008991008992 4.222222222222222 9 0 0 0 50 1001 10 7165 20

2.4285714285714284 0.013986013986013986 3.142857142857143 14 0 0 0 50 1001 10 7259 20

1.8888888888888888 0.008991008991008992 2.7777777777777777 9 0 0 0 50 1001 10 7362 20

2.125 0.007992007992007992 2.875 8 0 0 0 50 1001 10 7457 20

4.2 0.00999000999000999 3.8 10 1 1 0 50 1001 10 7554 20

1.8333333333333333 0.005994005994005994 2.8333333333333335 6 0 0 0 50 1001 10 7660 20

2.888888888888889 0.008991008991008992 3.0 9 0 0 0 50 1001 10 7742 20

2.3157894736842106 0.01898101898101898 3.4210526315789473 19 0 0 0 50 1001 10 7868 20

2.4 0.014985014985014986 3.933333333333333 15 0 0 0 50 1001 10 7976 20

2.6470588235294117 0.016983016983016984 3.1176470588235294 17 0 0 0 50 1001 10 8082 20

2.823529411764706 0.016983016983016984 3.588235294117647 17 0 0 0 50 1001 10 8160 20

1.4 0.004995004995004995 2.2 5 0 0 0 50 1001 10 8253 20

2.6 0.014985014985014986 4.0 15 0 0 0 50 1001 10 8351 20

1.75 0.011988011988011988 2.4166666666666665 12 0 0 0 50 1001 10 8454 20

